,ArrFlight,ACType,bookload,STD,ATA,ArrRoute,DepRoute
0,ET424,789,157,2022-10-31 19:07:56,2022-10-31 17:53:21,LHR,DME
1,EY375,320,125,2022-10-31 14:45:42,2022-10-31 14:07:15,AUH,ELQ
2,GF002,789,134,2022-10-31 09:28:09,2022-10-31 10:42:10,JED,DWC
3,PC824,738,100,2022-10-31 05:14:42,2022-10-31 05:32:25,DXB,SHJ
4,GF166,73G,137,2022-10-30 23:04:53,2022-10-30 22:17:21,TZX,KHI
5,FZ023,321,138,2022-10-30 21:42:19,2022-10-30 20:10:26,MCT,JED
6,GF188,32N,88,2022-10-30 19:10:19,2022-10-30 17:37:22,DXB,MCT
7,OV265,789,96,2022-10-30 13:53:48,2022-10-30 12:35:20,CAI,EMA
8,GF505,77W,44,2022-10-30 11:50:03,2022-10-30 10:57:11,DXB,TBS
9,IX889,738,185,2022-10-30 07:23:00,2022-10-30 05:50:35,IST,RUH
10,GF945,7M8,76,2022-10-30 02:30:54,2022-10-30 00:58:27,JED,IST
11,GF082,77W,54,2022-10-30 01:25:10,2022-10-30 00:23:00,AUH,DXB
12,GF112,77W,56,2022-10-29 23:07:26,2022-10-29 22:37:23,TTH,PEW
13,GF271,32Q,131,2022-10-29 20:08:52,2022-10-29 19:40:05,IST,AUH
14,FZ025,73H,66,2022-10-29 19:50:30,2022-10-29 20:24:15,LHE,JED
15,GF013,7M8,236,2022-10-29 18:32:01,2022-10-29 19:46:27,AUH,DMM
16,GF069,333,271,2022-10-29 14:11:51,2022-10-29 14:22:06,HKG,DXB
17,GF773,332,165,2022-10-29 09:53:47,2022-10-29 08:47:56,LYP,ADD
18,OV263,77W,140,2022-10-29 07:50:54,2022-10-29 08:31:18,TLV,DAC
19,GF281,77W,127,2022-10-29 05:53:46,2022-10-29 07:02:15,DXB,TLV
20,GF188,73H,68,2022-10-29 01:46:10,2022-10-29 03:18:03,NBO,KHB
21,SV520,333,146,2022-10-28 23:41:40,2022-10-28 22:39:49,DWC,JED
22,GF787,320,50,2022-10-28 21:46:33,2022-10-28 22:38:58,ISB,SHJ
23,KU615,32Q,88,2022-10-28 16:05:53,2022-10-28 14:30:19,AUH,DXB
24,GF773,73H,80,2022-10-28 12:16:50,2022-10-28 11:44:21,JIB,JED
25,GF773,321,53,2022-10-28 05:50:26,2022-10-28 05:00:45,DXB,CVG
26,GF166,320,105,2022-10-28 02:55:58,2022-10-28 02:55:25,IST,AUH
27,LH636,7M8,68,2022-10-27 22:08:29,2022-10-27 21:11:18,FRA,HKG
28,H6891,73G,32,2022-10-27 16:55:02,2022-10-27 16:46:09,BKK,IST
29,GF277,321,253,2022-10-27 13:04:37,2022-10-27 13:49:29,JED,LHR
30,5W7029,73G,123,2022-10-27 11:05:28,2022-10-27 09:39:16,NBO,DXB
31,GF018,32N,71,2022-10-27 10:47:58,2022-10-27 10:41:07,HKG,KHI
32,PC824,73H,70,2022-10-27 06:53:43,2022-10-27 06:26:57,DXB,TTH
33,GF142,789,136,2022-10-27 04:13:59,2022-10-27 03:29:36,DME,SAW
34,GF131,73G,185,2022-10-27 00:54:08,2022-10-27 02:27:00,JIB,AUH
35,3L010,32Q,138,2022-10-27 00:33:38,2022-10-26 23:43:58,KHB,AUH
36,SV520,77W,73,2022-10-26 23:40:48,2022-10-27 00:36:49,DXB,BOM
37,GF965,32Q,141,2022-10-26 20:46:00,2022-10-26 20:57:37,JED,JED
38,GF769,77W,146,2022-10-26 16:21:24,2022-10-26 16:50:18,LEJ,DEL
39,GF065,332,154,2022-10-26 15:18:53,2022-10-26 16:27:29,DXB,NHD
40,GF168,7M8,165,2022-10-26 12:30:20,2022-10-26 11:06:14,MCT,LCA
41,GF513,789,147,2022-10-26 05:39:45,2022-10-26 06:01:11,ADJ,KHI
42,3L010,333,122,2022-10-26 01:53:54,2022-10-26 01:00:37,DEL,DEL
43,GF973,7M8,284,2022-10-25 22:28:33,2022-10-25 22:21:45,DXB,BGW
44,GF168,73H,139,2022-10-25 21:31:45,2022-10-25 23:03:36,DEL,TTH
45,GF563,7M8,269,2022-10-25 19:58:17,2022-10-25 21:01:36,DEL,EMA
46,GF791,77W,90,2022-10-25 14:40:02,2022-10-25 14:05:04,DXB,SHJ
47,TK3758,332,49,2022-10-25 13:30:51,2022-10-25 14:12:24,DMM,ATH
48,FZ027,738,259,2022-10-25 12:54:06,2022-10-25 12:42:10,DXB,AUH
49,GF080,738,136,2022-10-25 07:45:56,2022-10-25 09:08:29,JED,JED
50,GF767,77W,135,2022-10-25 03:51:20,2022-10-25 04:06:16,LHR,BAH
51,GF026,77W,233,2022-10-24 21:12:35,2022-10-24 20:12:52,JED,KMC
52,GF022,333,135,2022-10-24 16:01:38,2022-10-24 15:32:18,ATH,AUH
53,GF082,333,114,2022-10-24 10:39:22,2022-10-24 11:04:03,ELQ,DWC
54,KL445,77W,177,2022-10-24 07:52:01,2022-10-24 09:22:32,MAA,SHJ
55,FZ021,32Q,151,2022-10-24 03:22:13,2022-10-24 02:13:28,LHR,DEL
56,GF168,73G,114,2022-10-23 23:45:36,2022-10-23 23:17:55,CVG,SIN
57,GF503,32N,156,2022-10-23 18:18:05,2022-10-23 16:43:05,DEL,DXB
58,GF771,73H,42,2022-10-23 13:57:38,2022-10-23 12:27:12,JED,SIN
59,GF751,321,135,2022-10-23 09:28:28,2022-10-23 09:29:44,JIB,FRA
60,GF018,77W,60,2022-10-23 09:22:08,2022-10-23 07:48:48,BKK,DMM
61,KU613,320,151,2022-10-23 07:31:47,2022-10-23 07:31:05,CVG,DEL
62,GF166,32N,51,2022-10-23 03:17:28,2022-10-23 04:42:50,DMM,LHE
63,TK3756,7M8,135,2022-10-22 22:52:31,2022-10-22 22:57:44,CVG,DMM
64,GF277,32Q,165,2022-10-22 20:18:26,2022-10-22 20:45:03,ELQ,ISB
65,KU615,32Q,48,2022-10-22 13:30:18,2022-10-22 13:20:42,DXB,MCT
66,PC824,789,142,2022-10-22 07:42:20,2022-10-22 07:22:20,DXB,MED
67,OV265,32Q,246,2022-10-22 04:17:29,2022-10-22 04:36:48,DME,LHR
68,GF787,333,41,2022-10-21 22:26:28,2022-10-21 23:55:26,DXB,DEL
